periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
Nov 02,83.295069,,,81.092541,,-0.019058,127.204658,47.444086,74.950732,80.210681,,,,,,,,
Dic 02,82.462464,,,81.000335,,-0.016769,130.653927,49.202309,74.299967,78.394298,,,,,,,,
Ene 03,80.807259,,,80.224122,,-0.007098,130.615115,48.2091,74.572591,76.487185,,,,,,,,
Feb 03,82.607662,,,80.749692,,0.013226,131.996634,48.338302,76.447203,78.774175,,,,,,,,
Mar 03,82.069679,,,82.81682,,0.017033,133.054629,48.287946,73.292449,77.894474,,,,,,,,
Abr 03,82.25037,,,82.179856,,0.016259,131.714745,47.779546,74.202995,78.250623,,,,,,,,
May 03,82.503445,,,81.825358,,0.017408,132.566533,47.858096,72.7187,78.746456,,,,,,,,
Jun 03,83.016118,,,82.216284,,0.019022,133.667396,47.514434,73.399188,79.282753,,,,,,,,
Jul 03,82.784532,,,83.109319,,0.018162,134.586224,47.105443,74.287298,78.730654,,,,,,,,
Ago 03,82.572511,,,84.351897,,0.015664,134.620754,46.876785,73.256083,78.362205,,,,,,,,
Sep 03,82.388963,,,85.108839,,0.013337,134.321856,46.827138,72.164383,78.522181,,,,,,,,
Oct 03,82.963212,,,85.066618,,0.012023,136.974502,46.790948,74.071316,78.735594,,,,,,,,
Nov 03,82.431168,,,80.190571,,0.009933,136.381773,47.442459,71.930565,78.118122,,,,,,,,
Dic 03,83.851636,,,82.581447,,0.010725,136.914945,47.32696,74.21214,79.668073,,,,,,,,
Ene 04,84.105834,,,83.200742,,0.037053,135.655369,56.61438,80.198684,78.426619,,,,,,,,
Feb 04,84.227279,,,81.790938,,0.024927,135.070432,57.176572,77.267232,79.118955,,,,,,,,
Mar 04,85.984606,,,86.976631,,0.033523,135.699619,58.677794,79.762018,80.681626,,,,,,,,
Abr 04,85.85019,,,86.205379,,0.037431,137.146283,58.007923,79.621463,80.349363,,,,,,,,
