periodo,Índice total (desest.),Var. mensual total (%),Var. anual total (%),Índice construcción (desest.),Var. mensual construcción (%),Var. anual construcción (%),Índice maquinaria y equipo (desest.),Var. mensual maquinaria y equipo (%),Var. anual maquinaria y equipo (%),Índice residencial (desest.),Var. anual residencial (%),Índice no residencial (desest.),Var. anual no residencial (%),Índice maquinaria y equipo nacional (desest.),Var. anual maquinaria y equipo nacional (%),Índice equipo de transporte nacional (desest.),Var. anual equipo de transporte nacional (%),"Índice maquinaria, equipo y otros bienes nacionales (desest.)","Var. anual maquinaria, equipo y otros bienes nacionales (%)",Índice maquinaria y equipo importado (desest.),Var. anual maquinaria y equipo importado (%),Índice equipo de transporte importado (desest.),Var. anual equipo de transporte importado (%),"Índice maquinaria, equipo y otros bienes importados (desest.)","Var. anual maquinaria, equipo y otros bienes importados (%)",Índice total (original),Var. anual original total (%),Acumulado ene-mes total (%),Índice construcción (original),Var. anual original construcción (%),Acumulado ene-mes construcción (%),Índice residencial (original),Var. anual original residencial (%),Acumulado ene-mes residencial (%),Índice no residencial (original),Var. anual original no residencial (%),Acumulado ene-mes no residencial (%),Índice maquinaria y equipo (original),Var. anual original maquinaria y equipo (%),Acumulado ene-mes maquinaria y equipo (%)
Ene 97,53.62,-0.031431,0.139397,72.18,-0.036315,0.088031,33.51,0.00782,0.294322,60.66,-0.065475,84.72,0.249926,52.43,0.288523,33.75,1.152423,72.3,0.042538,19.7,0.296906,24.64,0.380392,18.77,0.284736,54.0,0.13255,0.13255,70.75,0.078177,0.078177,58.51,-0.076838,-0.076838,84.23,0.237039,0.237039,34.59,0.285874,0.285874
Feb 97,54.29,0.012495,0.186148,72.06,-0.001663,0.13767,33.58,0.002089,0.295025,61.03,-0.007965,84.38,0.290609,52.18,0.237666,32.6,0.901984,73.03,0.030769,19.66,0.372905,26.02,0.559952,19.71,0.379286,53.78,0.165583,0.148796,72.06,0.134446,0.105854,60.78,-0.013312,-0.045527,84.48,0.287216,0.261666,32.61,0.253749,0.270081
Mar 97,54.42,0.002395,0.17411,71.37,-0.009575,0.116901,33.77,0.005658,0.303358,60.43,0.003821,83.75,0.214472,52.12,0.259546,31.56,0.773034,75.01,0.10163,20.21,0.394755,26.71,0.594627,19.57,0.324087,51.17,0.109497,0.135844,68.86,0.074762,0.095544,55.08,-0.037904,-0.043132,84.03,0.174095,0.231136,30.68,0.21169,0.251182
Abr 97,57.12,0.049614,0.1858,76.16,0.067115,0.160268,35.38,0.047675,0.296921,64.92,0.088349,88.66,0.231389,54.44,0.247194,32.51,0.58508,77.82,0.115379,21.23,0.33187,28.87,-0.072003,21.35,0.420492,55.83,0.242876,0.161852,72.68,0.193824,0.119092,64.23,0.131009,-0.001757,81.98,0.2539,0.236635,36.33,0.374054,0.28222
May 97,58.13,0.017682,0.185117,77.77,0.02114,0.163177,35.34,-0.001131,0.232218,66.49,0.105955,90.09,0.20072,54.47,0.16017,34.39,0.480413,76.44,0.071489,21.37,0.390371,28.96,0.597352,20.28,0.338614,55.16,0.184708,0.166451,72.92,0.170841,0.129279,56.28,0.114455,0.018513,91.25,0.212786,0.231447,34.59,0.219676,0.268887
Jun 97,59.12,0.017031,0.164467,76.81,-0.012344,0.108849,38.22,0.081494,0.325243,65.55,0.07248,89.56,0.142784,58.75,0.24286,37.63,0.478005,81.16,0.154481,22.8,0.518987,39.14,1.175653,20.9,0.421769,53.83,0.173278,0.16758,70.85,0.111024,0.126217,60.42,0.079507,0.028394,82.33,0.137783,0.215244,34.13,0.356518,0.282824
Jul 97,59.34,0.003721,0.138964,77.46,0.008462,0.075385,38.65,0.011251,0.334139,65.42,0.053802,90.64,0.086029,61.28,0.287125,39.93,0.573906,83.55,0.210168,22.27,0.43956,25.31,0.337031,21.86,0.460254,59.0,0.146967,0.164355,76.14,0.082765,0.119433,63.84,0.06631,0.033994,89.68,0.095797,0.195697,39.15,0.324425,0.289374
Ago 97,60.99,0.027806,0.170633,79.64,0.028144,0.115875,39.22,0.014748,0.322766,67.23,0.129347,93.26,0.101583,58.4,0.224062,37.37,0.275427,80.84,0.195328,24.92,0.531653,35.07,0.904943,23.04,0.475032,63.36,0.166636,0.164678,85.79,0.130303,0.121001,73.84,0.138101,0.048358,98.94,0.123807,0.184936,37.38,0.275768,0.287537
Sep 97,60.52,-0.007706,0.150352,78.26,-0.017328,0.097616,40.25,0.026262,0.330139,65.69,0.099414,92.05,0.091545,62.0,0.295445,42.85,0.477077,83.03,0.223548,24.35,0.419825,35.03,0.941796,22.3,0.33453,62.34,0.178227,0.166323,82.41,0.111846,0.119871,82.48,0.119587,0.058006,82.33,0.103619,0.175783,39.1,0.378702,0.298073
Oct 97,60.78,0.004296,0.121609,78.36,0.001278,0.058633,40.73,0.011925,0.292606,65.51,0.074463,92.49,0.053537,61.83,0.239575,40.67,0.280542,84.23,0.201569,25.32,0.40277,35.21,0.572577,23.5,0.362319,62.19,0.117119,0.160751,81.29,0.057637,0.112809,66.49,0.065887,0.058817,97.59,0.051616,0.160532,40.06,0.287275,0.296857
Nov 97,62.77,0.032741,0.16478,78.64,0.003573,0.066016,43.93,0.078566,0.404412,65.71,0.089537,92.92,0.058676,66.81,0.369338,43.72,0.465639,93.85,0.343593,26.57,0.45589,40.47,1.069018,24.13,0.354097,64.18,0.149355,0.159589,77.01,0.059722,0.107665,61.7,0.069324,0.05973,93.87,0.052944,0.149177,49.32,0.356809,0.303823
Dic 97,60.96,-0.028835,0.101156,76.42,-0.02823,0.020294,42.97,-0.021853,0.292331,63.31,0.017355,90.79,0.02149,63.49,0.230188,41.38,0.298807,86.58,0.201499,28.02,0.415867,40.57,0.723449,26.34,0.394389,67.8,0.095492,0.153079,84.46,0.000237,0.096794,68.32,-0.000293,0.054129,102.24,0.000685,0.133154,48.51,0.355785,0.309155
