periodo,Primarias,Secundarias,Terciarias,Var. trim. Terciarias (%),Var. anual Terciarias (%),PIB,Var. trim. PIB (%),Var. anual PIB (%),Var. trim. Primarias (%),Var. anual Primarias (%),Var. trim. Secundarias (%),Var. anual Secundarias (%)
4T-21,958456.619,7447531.382,14278012.522,0.033862,0.016387,23949712.898,0.032102,0.018929,0.330352,0.032431,0.003983,0.008452
1T-22,763309.39,7571406.381,13817542.03,-0.03225,0.01532,23440574.466,-0.021259,0.026234,-0.203606,0.007262,0.016633,0.042009
2T-22,869367.643,7728548.662,14325766.844,0.036781,0.018669,24310024.252,0.037092,0.029063,0.138945,-0.003155,0.020755,0.044789
3T-22,725282.018,7805875.067,14421864.812,0.006708,0.044279,24289379.479,-0.000849,0.04674,-0.165736,0.006703,0.010005,0.052291
4T-22,1002685.71,7826990.042,14899941.441,0.033149,0.043559,25052395.779,0.031414,0.046042,0.382477,0.046146,0.002705,0.050951
1T-23,767720.639,7800352.717,14382920.096,-0.0347,0.040917,24330982.536,-0.028796,0.037986,-0.234336,0.005779,-0.003403,0.030238
2T-23,866388.559,7964375.032,14833956.646,0.031359,0.035474,25108268.25,0.031946,0.032836,0.128521,-0.003427,0.021028,0.030514
3T-23,730201.127,8061173.693,14924452.582,0.006101,0.034849,25094793.141,-0.000537,0.033159,-0.15719,0.006782,0.012154,0.032706
4T-23,958911.8,8024213.122,15251937.656,0.021943,0.023624,25590082.607,0.019737,0.021462,0.313216,-0.043657,-0.004585,0.025198
1T-24,763337.702,7795986.431,14792896.131,-0.030097,0.028504,24761655.524,-0.032373,0.017701,-0.203954,-0.005709,-0.028442,-0.00056
2T-24,866987.775,8011179.29,15297892.114,0.034138,0.031275,25655479.047,0.036097,0.021794,0.135785,0.000692,0.027603,0.005877
3T-24,783638.959,8020904.247,15272671.829,-0.001649,0.023332,25475446.445,-0.007017,0.015169,-0.096136,0.073182,0.001214,-0.004995
4T-24,930282.979,7832811.484,15559800.994,0.002,0.021,25693292.983,0.008551,0.004033,-0.085,-0.041,-0.015,-0.02
1T-25,794706.899,7715395.565,14984362.696,-0.001,0.011,24913610.281,-0.030346,0.006137,0.078,0.067,-0.001,-0.013
2T-25,856980.339,7888924.88,15388336.602,0.008,0.018,25618678.767,0.006,0.012,-0.024,0.026,0.007,-0.003
3T-25,777766.167,7812449.734,15433943.462,0.002,0.01,25422850.191,-0.003,-0.002,0.035,0.029,-0.015,-0.027
4T-25,993973.972,7867045.889,15877667.814,0.009,0.021,26135644.696,0.009,0.018,-0.014,0.078,0.009,0.003
1T-26,788493.942,7632084.217,15120485.521,-0.004,0.011,24973976.071,-0.006,0.004,-0.017,0.003,-0.01,-0.011
2T-26,898248.914,7978687.666,15749814.826,0.014,0.023,,0.014,0.019,0.024,0.048,0.016,0.009
